scenario_id,cell_id,p_bda_count,bda_group,delta_normalized_utility,delta_destroyed_value,delta_service_cost,delta_distance_cost,delta_ammo_cost,delta_realized_utility,delta_invalid_attack,delta_initial_wreck_attack,utility_identity_residual,ecdf
D2-N2-M3-Rloose-S1039,N2-M3-Rloose,1,1,-0.003741638735920483,0.0,0.8605769092617059,0.0,0.0,-0.8605769092617095,0,0,3.552713678800501e-15,0.47998046875
D2-N2-M3-Rtight-S1353,N2-M3-Rtight,1,1,-0.003740435045556878,0.0,0.8603000604780888,0.0,0.0,-0.8603000604780817,0,0,-7.105427357601002e-15,0.480224609375
D2-N2-M3-Rtight-S1437,N2-M3-Rtight,1,1,-0.0037368419983000445,0.0,0.8594736596090096,0.0,0.0,-0.8594736596090087,0,0,-8.881784197001252e-16,0.48046875
D2-N2-M3-Rtight-S1408,N2-M3-Rtight,1,1,-0.0037351069417751667,0.0,0.8590745966082896,0.0,0.0,-0.8590745966082896,0,0,0.0,0.480712890625
D2-N2-M3-Rtight-S1472,N2-M3-Rtight,1,1,-0.003733492465921584,0.0,0.8587032671619559,0.0,0.0,-0.8587032671619568,0,0,8.881784197001252e-16,0.48095703125
D2-N3-M3-Rtight-S1014,N3-M3-Rtight,1,1,-0.003724919918290562,0.0,0.8567315812068295,0.0,0.0,-0.8567315812068292,0,0,-2.220446049250313e-16,0.481201171875
D2-N3-M3-Rloose-S1027,N3-M3-Rloose,1,1,-0.0037239155733788665,0.0,0.8565005818771461,0.0,0.0,-0.8565005818771425,0,0,-3.552713678800501e-15,0.4814453125
D2-N2-M3-Rloose-S1304,N2-M3-Rloose,3,2+,-0.00371956635819759,0.0,1.1158699074592775,0.0,0.0,-1.1158699074592775,-2,-2,0.0,0.481689453125
D2-N2-M3-Rtight-S1304,N2-M3-Rtight,1,1,-0.003713292136430478,0.0,0.8540571913790087,0.0,0.0,-0.8540571913790096,0,0,8.881784197001252e-16,0.48193359375
D2-N3-M3-Rloose-S1379,N3-M3-Rloose,1,1,-0.003710835840734339,0.0,0.8534922433689047,0.0,0.0,-0.8534922433688905,0,0,-1.4210854715202004e-14,0.482177734375
D2-N2-M3-Rtight-S1064,N2-M3-Rtight,1,1,-0.0037083417888355355,0.0,1.112502536650661,0.0,0.0,-1.112502536650661,0,0,0.0,0.482421875
D2-N3-M3-Rloose-S1431,N3-M3-Rloose,1,1,-0.003707722149588921,0.0,0.8527760944054528,0.0,0.0,-0.8527760944054563,0,0,3.552713678800501e-15,0.482666015625
D2-N2-M3-Rloose-S1078,N2-M3-Rloose,1,1,-0.0037076750620984086,0.0,0.852765264282634,0.0,0.0,-0.8527652642826342,0,0,2.220446049250313e-16,0.48291015625
D2-N3-M3-Rloose-S1199,N3-M3-Rloose,1,1,-0.00370340094931243,0.0,0.851782218341878,0.0,0.0,-0.8517822183418673,0,0,-1.0658141036401503e-14,0.483154296875
D2-N3-M3-Rloose-S1203,N3-M3-Rloose,1,1,-0.0037031541102226506,0.0,0.851725445351196,0.0,0.0,-0.8517254453512066,0,0,1.0658141036401503e-14,0.4833984375
D2-N3-M3-Rloose-S1271,N3-M3-Rloose,1,1,-0.0037010501995292655,0.0,0.8512415458917317,0.0,0.0,-0.8512415458917317,0,0,0.0,0.483642578125
D2-N2-M3-Rtight-S1000,N2-M3-Rtight,1,1,-0.003700411441291851,0.0,1.1101234323875477,0.0,0.0,-1.110123432387553,0,0,5.329070518200751e-15,0.48388671875
D2-N2-M5-Rtight-S1495,N2-M5-Rtight,1,1,-0.0036957275809597553,0.0,1.0717609984783287,0.0,0.0,-1.0717609984783287,0,0,0.0,0.484130859375
D2-N2-M3-Rtight-S1080,N2-M3-Rtight,1,1,-0.003691522073419218,0.0,0.8490500768864271,0.0,0.0,-0.849050076886428,0,0,8.881784197001252e-16,0.484375
